time="2024-01-30 14:04:17" level=info Agent= Hostname=LAPTOP-FH0DMLT2 Ip=127.0.0.1 Method=GET datasize=0 path=/ws/sensor spendtime="16062 ms" status=200
time="2024-01-30 15:16:49" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=4894 path="/api/v1/data/getBySN?sn=JC0" spendtime="1 ms" status=200
time="2024-01-30 15:16:52" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=4894 path="/api/v1/data/getBySN?sn=JC09" spendtime="2 ms" status=200
time="2024-01-30 15:16:56" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=4894 path="/api/v1/data/getBySN?sn=JC091" spendtime="1 ms" status=200
time="2024-01-30 15:17:04" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=4894 path="/api/v1/data/getBySN?sn=11" spendtime="2 ms" status=200
time="2024-01-30 15:17:12" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=4894 path="/api/v1/data/getBySN?sn=0" spendtime="0 ms" status=200
time="2024-01-30 15:17:17" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=4894 path="/api/v1/data/getBySN?sn=NIMA" spendtime="4 ms" status=200
time="2024-01-30 17:28:49" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=POST datasize=241 path=/api/v1/login spendtime="40 ms" status=200
time="2024-01-30 17:29:08" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=4894 path=/api/v1/data/get spendtime="5 ms" status=200
time="2024-01-30 17:29:18" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=55 path="/api/v1/project/getByName?name=er" spendtime="0 ms" status=200
time="2024-01-30 17:29:24" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=595 path="/api/v1/project/getByName?name=%E4%B8%80" spendtime="3 ms" status=200
